date,cid,ndelivered,ndrop,nclicked,nopened,predict
2018-04-09,03c7d276-0778-4929-90aa-4d80cadb851e,1,4,0,1,1
2018-04-09,1329409f-4c1a-4e77-be24-dae046c9bbd1,1,1,0,0,1
2018-04-09,1a5cda4d-50be-447f-b2d6-a63d7eacd504,3382,1275,30,709,1016
2018-04-09,337aa3f2-5da4-453c-977e-a0cb67f9a8f8,2,0,0,1,1
2018-04-09,4c30d448-4b83-4558-a568-4c0f08fa858c,2,0,1,1,0
2018-04-09,5308a87e-9b85-4d59-a280-4a8ac49bf276,164,0,3,9,19
2018-04-09,5f66d12d-3a27-41f5-972d-4c6c90813dd6,2579,95,81,675,252
2018-04-09,a21392e4-f3a0-41d9-80c6-c7ecd015ca97,3384,1273,12,286,1190
2018-04-09,b6dea720-6d4d-4d28-bc35-090c345ffd44,0,0,1,1,0
2018-04-09,c9c03262-8d6e-4941-b4a1-54a322bd34df,0,3,3,17,16
2018-04-09,d103b7cb-24a5-4f86-81d9-37cf50510550,4,1,0,2,2
2018-04-09,d5f362ec-4870-4192-97af-b0e9e8e68ab1,1712,322,9,62,1173
2018-04-09,e7cf9c53-7724-4225-82ca-a555fdb8de9c,162,0,2,10,20
2018-04-09,f4daacc4-a0a0-4e7c-8496-e73ef8612b89,0,0,1,1,0
2018-04-09,ff7547d8-ec2b-43c5-9b12-61c7c141ee23,39,7,2,17,34
