date,cid,ndelivered,ndrop,nclicked,nopened,predict
2018-04-10,0099ca01-8d4b-4412-bff1-d65ba1bb5043,4,0,1,4,4
2018-04-10,05a51669-d1e6-4a73-a6e3-4a3e6bd8ddd1,91,7,4,77,73
2018-04-10,22bd50d0-4be1-48cf-bdd0-f6a68f5eb6b7,4,0,2,4,4
2018-04-10,3a90d75e-f480-469e-a380-f568caecd6f3,2858,1601,54,530,2419
2018-04-10,543aee3a-a0d1-4867-a797-13ca9c3a5867,4,0,0,4,4
2018-04-10,723453fc-1fcd-4c84-981c-3928f625b619,4,0,1,3,4
2018-04-10,839a61f7-501b-474c-b99c-9d918ff53efd,109,9,2,100,86
2018-04-10,bfef51f2-3c84-494c-92fe-dc94391690ef,146,11,2,130,116
2018-04-10,d51e80e1-1635-4a98-89e6-50f85cd6e5fe,4,0,1,4,4
2018-04-10,f1c89f12-5f0f-4e9f-8650-92ee980a31d7,4,0,1,3,4
2018-04-10,fa7f9a63-1491-404f-91a1-32cdf9445e8c,4,0,0,4,0
