date,cid,ndelivered,ndrop,nclicked,nopened,predict
2018-04-06,176fde94-fb79-483a-9b18-6cac6f4a1fa2,120,17,7,49,23
2018-04-06,366012b7-591e-4a8c-87d3-cd0b2be094df,14,0,2,5,4
2018-04-06,50e09f7b-bd03-48b5-8a8c-a9c245cad20b,582,149,5,192,138
2018-04-06,6419f6a1-c574-47c7-8741-0854bdaf7519,15,0,3,9,6
2018-04-06,6840990f-5838-41fc-b5aa-eda681f468c7,14,0,3,9,12
2018-04-06,71686962-89ca-4bca-bd21-322af1a2b52e,95,15,2,7,18
2018-04-06,7773036e-430f-41e2-a449-3df679bf9d0a,2,0,0,1,1
2018-04-06,87b2764f-67f9-453b-824b-df3229c79fc2,0,0,0,0,0
2018-04-06,a856105c-9c71-4ca2-9e3c-f02625c86a84,10,1,3,6,9
2018-04-06,b6711e5e-d7e9-4a1e-87d3-6143ac761894,15,0,0,3,6
2018-04-06,e614733e-7db4-479a-bc3a-5e1070973670,3,0,1,2,3
2018-04-06,ebc3212f-61c7-4dcf-81a1-cb9c48acb3dc,0,0,0,0,0
2018-04-06,f746e610-2e76-4044-af5a-c8b439ebab4e,2171,570,28,477,809
